Link_index	Source	Destination	Capacity(EPRps)	Length(km)	Real/Virtual
248	137	28	259908.115	6.976	real
249	40	138	754850.65	0	virtual
250	138	41	8923.59	41.479	real
251	37	139	754850.65	0	virtual
252	139	38	110755.64	12.622	real
253	20	140	754850.65	0	virtual
254	140	21	15997.99	33.465	real
255	18	141	754850.65	0	virtual
256	141	19	7518.674999999999	43.945	real
257	20	142	754850.65	0	virtual
258	142	26	69135.36	16.733	real
259	8	143	754850.65	0	virtual
260	143	38	3676.175	54.72	real
261	20	144	754850.65	0	virtual
262	144	26	69135.36	16.733	real
263	4	145	754850.65	0	virtual
264	145	7	12751.724999999999	36.502	real
265	12	146	754850.65	0	virtual
266	146	30	230836.575	7.624	real
267	8	147	754850.65	0	virtual
268	147	31	36088.75	23.487	real
269	1	148	754850.65	0	virtual
270	148	3	40411.19	22.227	real
271	33	149	754850.65	0	virtual
272	149	34	142584.54499999998	10.708	real
273	38	150	754850.65	0	virtual
274	150	39	192376.41	8.704	real
275	11	151	754850.65	0	virtual
276	151	23	10063.745	39.777	real
277	19	152	754850.65	0	virtual
278	152	24	21545.915	29.637	real
279	30	153	754850.65	0	virtual
280	153	38	4040.75	53.256	real
281	25	154	754850.65	0	virtual
282	154	27	29465.46	25.827	real
283	43	155	754850.65	0	virtual
284	155	44	62439.97	17.711	real
285	34	156	754850.65	0	virtual
286	156	35	95201.74	13.866	real
287	17	157	754850.65	0	virtual
288	157	18	14062.974999999999	35.179	real
289	42	158	754850.65	0	virtual
290	158	46	14132.02	35.113	real
291	11	159	754850.65	0	virtual
292	159	23	10063.745	39.777	real
293	23	160	754850.65	0	virtual
294	160	30	239219.21	7.424	real
295	32	161	754850.65	0	virtual
296	161	38	53233.72	19.305	real
297	5	162	754850.65	0	virtual
298	162	8	8372.5	42.391	real
299	30	163	754850.65	0	virtual
300	163	38	4040.75	53.256	real
301	38	164	754850.65	0	virtual
302	164	39	192376.41	8.704	real
303	14	165	754850.65	0	virtual
304	165	42	76398.42	15.804	real
305	37	166	754850.65	0	virtual
306	166	38	110755.64	12.622	real
307	42	167	754850.65	0	virtual
308	167	46	14132.02	35.113	real
309	19	168	754850.65	0	virtual
310	168	30	975.58	76.306	real
311	8	169	754850.65	0	virtual
312	169	35	111575.345	12.563	real
313	14	170	754850.65	0	virtual
314	170	42	76398.42	15.804	real
315	25	171	754850.65	0	virtual
316	171	37	58841.015	18.296	real
317	10	172	754850.65	0	virtual
318	172	11	71258.84	16.449	real
319	26	173	754850.65	0	virtual
320	173	29	19398.73	30.965	real
321	6	174	754850.65	0	virtual
322	174	7	1050.835	75.052	real
323	16	175	754850.65	0	virtual
324	175	17	45643.869999999995	20.91	real
325	43	176	754850.65	0	virtual
326	176	46	92015.84000000001	14.156	real
327	14	177	754850.65	0	virtual
328	177	42	76398.42	15.804	real
329	47	178	754850.65	0	virtual
330	178	48	43302.59	21.475	real
331	25	179	754850.65	0	virtual
332	179	27	29465.46	25.827	real
333	1	180	754850.65	0	virtual
334	180	3	40411.19	22.227	real
335	12	181	754850.65	0	virtual
336	181	30	230836.575	7.624	real
337	42	182	754850.65	0	virtual
338	182	44	27773.045000000002	26.529	real
